issue_id,timestamp,category,description,latitude,longitude,municipality,district,state,age_group,gender,origin,responsible_entity_id,responsible_entity_name,responsible_entity_level,hour,day_of_week,day_of_month,week_of_year,month,quarter,is_weekend,is_business_hours,is_morning,is_afternoon,date,week
ISS_20250613033645_4927,2024-03-05 16:24:00,Verkehr,"Die Baustelle in der Erfurter Straße dauert schon seit drei Monaten und es gibt keine Umleitung - der Verkehr staut sich täglich bis zur Innenstadt. Wann wird das endlich fertig, damit wir wieder normal zur Arbeit fahren können?",51.10000057657633,10.648215468499208,Bad Langensalza,Stadt,Thüringen,35-44,female,citizen,LAND_15_VM,Sachsen-Anhalt - Ministerium für Verkehr,Land,16,1,5,10,2024-03,1,False,True,False,True,2024-03-05,2024-03-04/2024-03-10
ISS_20250613033645_9007,2024-06-18 13:20:00,Gesundheit,Die Wartezeit für einen Facharzttermin beim Orthopäden in Rees beträgt über vier Monate. Für Berufstätige mit Rückenproblemen ist das untragbar - wir brauchen dringend mehr Fachärzte oder längere Sprechzeiten in der Region.,51.774096713062,6.420248766174262,Rees,Stadt,Nordrhein-Westfalen,35-44,female,citizen,LAND_03_SM,Niedersachsen - Ministerium für Soziales,Land,13,1,18,25,2024-06,2,False,True,False,True,2024-06-18,2024-06-17/2024-06-23
ISS_20250613033645_9185,2024-01-25 05:04:00,Umwelt,Der Containerplatz in der Talstraße quillt seit Tagen über und der Müll liegt überall rum. Als Student wohne ich direkt daneben und es stinkt extrem - könnte das bitte mal jemand wegräumen?,49.32659631345769,7.338901436239064,Homburg,Stadt,Saarland,18-24,male,migrant_eu,LAND_12_UM,Brandenburg - Ministerium für Umwelt,Land,5,3,25,4,2024-01,1,False,False,False,False,2024-01-25,2024-01-22/2024-01-28
ISS_20250613033708_8669,2024-02-13 07:35:00,Bildung,"Die Computerräume an unserer Berufsschule sind völlig veraltet - die PCs stürzen ständig ab und das Internet ist so langsam, dass wir kaum arbeiten können. Wie sollen wir uns so auf die Digitalisierung vorbereiten?",51.08757573915521,6.607555316695562,Grevenbroich,Stadt,Nordrhein-Westfalen,18-24,diverse,citizen,LAND_06_BM,Hessen - Ministerium für Bildung,Land,7,1,13,7,2024-02,1,False,False,True,False,2024-02-13,2024-02-12/2024-02-18
ISS_20250613033648_2496,2023-03-24 16:46:00,Migration,"Die Wartezeiten im Ausländeramt sind unmöglich - meine Nachbarin wartet seit drei Monaten auf einen Termin für die Verlängerung ihrer Aufenthaltserlaubnis. Das kann doch nicht sein, dass arbeitende Menschen so lange im Ungewissen bleiben müssen.",51.53817261412785,7.209224638813151,Herne,Stadt,Nordrhein-Westfalen,35-44,female,citizen,LAND_02_SM,Hamburg - Ministerium für Soziales,Land,16,4,24,12,2023-03,1,False,True,False,True,2023-03-24,2023-03-20/2023-03-26
ISS_20250613033716_2582,2024-06-16 23:32:00,Digitalisierung,"Die Online-Terminbuchung für das Bürgerbüro funktioniert überhaupt nicht - ständig Fehlermeldungen und dann ist man ewig in der Warteschleife am Telefon. Warum kann man nicht einfach wie früher persönlich vorbeikommen, ohne diesen Computer-Kram?",52.29890913614144,11.705612564779678,Loitsche-Heinrichsberg,Gemeinde,Sachsen-Anhalt,55-64,female,citizen,BUND_BUNDESMINISTERIUM_FÜR_DIGITALES_UND_VERKEHR,Bundesministerium für Digitales und Verkehr,Bund,23,6,16,24,2024-06,2,True,False,False,False,2024-06-16,2024-06-10/2024-06-16
ISS_20250613033648_4186,2024-12-06 11:23:00,Wirtschaft,"Die örtlichen Geschäfte in Siek schließen nach und nach, weil die Mieten zu hoch sind und keine Nachfolger gefunden werden. Unsere Gemeinde verliert dadurch ihre Lebendigkeit und wir müssen immer weiter fahren zum Einkaufen.",53.63188859837426,10.280771644425734,Siek,Gemeinde,Schleswig-Holstein,55-64,female,citizen,LAND_07_FM,Rheinland-Pfalz - Ministerium der Finanzen,Land,11,4,6,49,2024-12,4,False,True,True,False,2024-12-06,2024-12-02/2024-12-08
ISS_20250613033649_3258,2023-05-08 06:06:00,Sicherheit,"Der Fußweg entlang der Bahnhofstraße ist abends völlig unbeleuchtet und sehr unsicher. Besonders für Frauen ist es gefährlich, dort nach Einbruch der Dunkelheit zu gehen - wir brauchen dringend bessere Straßenbeleuchtung.",52.53534018155653,7.874244679207148,Ankum,Gemeinde,Niedersachsen,35-44,female,citizen,LAND_02_UM,Hamburg - Ministerium für Umwelt,Land,6,0,8,19,2023-05,2,False,False,True,False,2023-05-08,2023-05-08/2023-05-14
ISS_20250613033648_2407,2023-09-29 08:26:00,Umwelt,Die Luftqualität in der Innenstadt ist unerträglich geworden - besonders morgens beim Joggen durch die Königstraße kann man kaum atmen. Wann werden endlich wirksame Maßnahmen gegen die Abgase und den Feinstaub ergriffen?,48.77429953938666,9.172204563511228,Stuttgart,Stadt,Baden-Württemberg,25-34,female,citizen,LAND_04_MW,Bremen - Ministerium für Wirtschaft,Land,8,4,29,39,2023-09,3,False,True,True,False,2023-09-29,2023-09-25/2023-10-01
ISS_20250613033649_9390,2023-07-07 09:47:00,Bildung,"Die Schultoiletten in der örtlichen Grundschule sind in einem katastrophalen Zustand - defekte Spülungen, fehlende Seife und kaputte Türschlösser. Meine Enkelin weigert sich, dort zur Toilette zu gehen, was unhaltbar ist.",52.085979471052966,11.391697358507992,Wanzleben-Börde,Stadt,Sachsen-Anhalt,55-64,female,citizen,LAND_11_BM,Berlin - Ministerium für Bildung,Land,9,4,7,27,2023-07,3,False,True,True,False,2023-07-07,2023-07-03/2023-07-09
ISS_20250613033649_8208,2024-12-21 12:06:00,Bildung,"Die Heizung in der Grundschule Üchtelhausen ist seit drei Wochen kaputt und die Kinder frieren im Unterricht. Meine Tochter kommt jeden Tag durchgefroren nach Hause - das kann so nicht weitergehen, bitte reparieren Sie das endlich!",50.12143112948884,10.28387170913165,Üchtelhausen,Gemeinde,Bayern,45-54,male,citizen,LAND_07_BM,Rheinland-Pfalz - Ministerium für Bildung,Land,12,5,21,51,2024-12,4,True,True,True,True,2024-12-21,2024-12-16/2024-12-22
ISS_20250613033649_5248,2023-11-10 08:00:00,Digitalisierung,"Die Online-Terminbuchung für das Bürgerbüro funktioniert seit Wochen nicht richtig - man kann zwar Termine auswählen, aber bekommt keine Bestätigung. Muss ich wirklich extra nach Diepholz fahren, nur um einen simplen Meldezettel zu beantragen?",52.740322458107,8.839288474394797,Schwaförden,Gemeinde,Niedersachsen,25-34,female,citizen,BUND_BUNDESMINISTERIUM_FÜR_DIGITALES_UND_VERKEHR,Bundesministerium für Digitales und Verkehr,Bund,8,4,10,45,2023-11,4,False,True,True,False,2023-11-10,2023-11-06/2023-11-12
ISS_20250613033649_5714,2024-01-09 13:17:00,Bildung,Die Turnhalle der Grundschule ist seit drei Monaten wegen Wasserschäden gesperrt. Mein Sohn hat seitdem keinen Sportunterricht mehr und die Kinder müssen bei schlechtem Wetter in der Klasse bleiben. Wann wird endlich repariert?,51.51862029711783,6.310068839143327,Geldern,Stadt,Nordrhein-Westfalen,35-44,female,citizen,LAND_03_BM,Niedersachsen - Ministerium für Bildung,Land,13,1,9,2,2024-01,1,False,True,False,True,2024-01-09,2024-01-08/2024-01-14
ISS_20250613033648_2787,2023-08-22 08:20:00,Bildung,"Die Kita in Eichendorf hat seit drei Monaten noch immer keinen Ersatz für die gekündigte Erzieherin gefunden. Mein Sohn und die anderen Kinder bekommen dadurch viel weniger Aufmerksamkeit und Förderung, das kann so nicht weitergehen.",48.63345781617468,12.84465357331036,Eichendorf,Gemeinde,Bayern,25-34,female,citizen,LAND_03_BM,Niedersachsen - Ministerium für Bildung,Land,8,1,22,34,2023-08,3,False,True,True,False,2023-08-22,2023-08-21/2023-08-27
ISS_20250613033648_3452,2025-03-11 13:20:00,Wirtschaft,"Die neuen Parkgebühren in der Innenstadt sind viel zu hoch und schrecken Kunden ab. Viele Geschäfte klagen bereits über Umsatzrückgänge, weil die Leute lieber ins Einkaufszentrum nach Karlsruhe fahren statt hier einzukaufen.",49.03543851501923,8.19224636772626,Wörth am Rhein,Stadt,Rheinland-Pfalz,45-54,female,citizen,LAND_01_FM,Schleswig-Holstein - Ministerium der Finanzen,Land,13,1,11,11,2025-03,1,False,True,False,True,2025-03-11,2025-03-10/2025-03-16
ISS_20250613033710_9990,2023-11-28 10:39:00,Umwelt,"Der Grünschnitt am Ortseingang von Heiligengrabe wird seit Monaten nicht abgeholt und fault vor sich hin. Das stinkt erbärmlich und lockt massenhaft Ungeziefer an - meine Nachbarn beschweren sich schon bei mir, als wäre ich schuld daran.",53.12455476963856,12.385021754748015,Heiligengrabe,Gemeinde,Brandenburg,45-54,male,citizen,LAND_03_UM,Niedersachsen - Ministerium für Umwelt,Land,10,1,28,48,2023-11,4,False,True,True,False,2023-11-28,2023-11-27/2023-12-03
ISS_20250613033649_4138,2024-07-19 03:19:00,Bildung,"Die Grundschule meines Sohnes hat schon wieder drei Deutschstunden diese Woche gestrichen, weil die Lehrerin krank ist. Für Kinder wie meinen, die Deutsch als Zweitsprache lernen, ist das besonders schlimm - er kommt gar nicht mehr mit.",53.29165534870916,12.855433766054423,Mirow,Stadt,Mecklenburg-Vorpommern,35-44,female,migrant_non_eu,LAND_14_BM,Sachsen - Ministerium für Bildung,Land,3,4,19,29,2024-07,3,False,False,False,False,2024-07-19,2024-07-15/2024-07-21
ISS_20250613033650_2958,2023-11-25 02:14:00,Verkehr,"Die Straße durch den Kaufunger Wald ist voller Schlaglöcher und wird von Lkws viel zu schnell befahren. Als Anwohnerin mache ich mir Sorgen um die Sicherheit der Spaziergänger und Radfahrer, die hier täglich unterwegs sind.",51.28642731442617,9.739182964715638,Gutsbezirk Kaufunger Wald,Gemeindefreies Gebiet,Hessen,55-64,female,citizen,LAND_11_VM,Berlin - Ministerium für Verkehr,Land,2,5,25,47,2023-11,4,True,False,False,False,2023-11-25,2023-11-20/2023-11-26
ISS_20250613033716_9731,2023-09-13 03:35:00,Migration,Die Bearbeitung meines Antrags auf Familienzusammenführung dauert bereits über ein Jahr. Meine Frau wartet in der Türkei und wir bekommen keine konkreten Informationen über den Stand des Verfahrens. Das ist unzumutbar für Familien.,51.06112119477935,12.596517740466924,Frohburg,Stadt,Sachsen,35-44,male,citizen,LAND_14_SM,Sachsen - Ministerium für Soziales,Land,3,2,13,37,2023-09,3,False,False,False,False,2023-09-13,2023-09-11/2023-09-17
ISS_20250613033652_4998,2024-05-19 13:37:00,Migration,Die Bearbeitung meines Antrags auf Familienzusammenführung dauert bereits acht Monate ohne jede Rückmeldung vom Ausländeramt. Meine Frau wartet in der Türkei und wir brauchen endlich eine Antwort oder wenigstens einen Zwischenstand.,49.2149869044713,7.264697972425893,Blieskastel,Stadt,Saarland,35-44,male,citizen,LAND_02_SM,Hamburg - Ministerium für Soziales,Land,13,6,19,20,2024-05,2,True,True,False,True,2024-05-19,2024-05-13/2024-05-19
ISS_20250613033651_6201,2024-08-08 12:28:00,Verkehr,"Die Baustelle in der Hauptstraße dauert jetzt schon drei Monate und es gibt keine Umleitung für Fußgänger. Besonders für uns ältere Bürger ist der weite Umweg über die Ingolstädter Straße eine Zumutung, vor allem bei schlechtem Wetter.",48.551980951122935,11.49415699424312,Pfaffenhofen a.d.Ilm,Stadt,Bayern,55-64,female,citizen,LAND_07_VM,Rheinland-Pfalz - Ministerium für Verkehr,Land,12,3,8,32,2024-08,3,False,True,True,True,2024-08-08,2024-08-05/2024-08-11
ISS_20250613033652_4462,2023-08-28 11:51:00,Migration,"""Die Bearbeitung meines Antrags auf Familienzusammenführung dauert bereits acht Monate ohne jede Rückmeldung von der Ausländerbehörde. Meine Frau wartet in der Türkei und wir brauchen endlich eine Antwort oder wenigstens einen Zwischenstand.""",53.691415074350864,11.630184181029358,Kuhlen-Wendorf,Gemeinde,Mecklenburg-Vorpommern,25-34,male,citizen,LAND_05_SM,Nordrhein-Westfalen - Ministerium für Soziales,Land,11,0,28,35,2023-08,3,False,True,True,False,2023-08-28,2023-08-28/2023-09-03
ISS_20250613033652_2596,2024-10-09 19:29:00,Bildung,"Die Schulbusse zur Berufsschule in Lübeck fahren oft zu spät oder fallen ganz aus, wodurch ich regelmäßig Unterrichtsstunden verpasse. Das kann nicht sein, dass wir aus Ratekau so schlecht angebunden sind und unsere Ausbildung darunter leidet!",53.96258265328607,10.747617756796474,Ratekau,Gemeinde,Schleswig-Holstein,18-24,female,citizen,LAND_03_BM,Niedersachsen - Ministerium für Bildung,Land,19,2,9,41,2024-10,4,False,False,False,False,2024-10-09,2024-10-07/2024-10-13
ISS_20250613033652_8307,2023-08-13 15:08:00,Umwelt,"Die Mülleimer im Stadtpark quellen seit Tagen über und der Gestank ist unerträglich. Besonders am Spielplatz liegt überall Abfall rum, das ist unhygienisch für die Kinder und sieht einfach eklig aus.",52.19611650462673,9.616331688205833,Springe,Stadt,Niedersachsen,18-24,female,citizen,LAND_01_UM,Schleswig-Holstein - Ministerium für Umwelt,Land,15,6,13,32,2023-08,3,True,True,False,True,2023-08-13,2023-08-07/2023-08-13
ISS_20250613033709_5742,2024-08-14 10:08:00,Bildung,"Die Schulbusse in unserem Ort fahren völlig unzuverlässig - letzte Woche sind meine Enkelkinder dreimal zu spät zur Schule gekommen. Die Gemeinde muss endlich für pünktliche Verbindungen sorgen, damit die Kinder ihren Unterricht nicht verpassen.",49.87503128857018,11.151750922652909,Heiligenstadt i.OFr.,Gemeinde,Bayern,65+,female,citizen,LAND_08_BM,Baden-Württemberg - Ministerium für Bildung,Land,10,2,14,33,2024-08,3,False,True,True,False,2024-08-14,2024-08-12/2024-08-18
ISS_20250613033652_7068,2024-01-14 04:38:00,Bildung,"Die Toiletten in der Stadtteilschule meines Sohnes sind seit Monaten kaputt und unhygienisch. Viele Kinder gehen deshalb ungern zur Schule und halten den ganzen Tag ein, was nicht gesund sein kann.",53.5465911476051,10.018943660181222,Hamburg,Stadt,Hamburg,45-54,male,citizen,LAND_06_BM,Hessen - Ministerium für Bildung,Land,4,6,14,2,2024-01,1,True,False,False,False,2024-01-14,2024-01-08/2024-01-14
ISS_20250613033652_7959,2024-12-16 13:20:00,Umwelt,Die Mülltrennung in unserem Wohngebiet funktioniert nicht richtig - die gelben Säcke werden oft nicht abgeholt und liegen wochenlang auf der Straße. Das lockt Ungeziefer an und sieht sehr schlecht aus für die Nachbarschaft.,48.780725013025474,10.10095592159228,Oberkochen,Stadt,Baden-Württemberg,35-44,female,migrant_non_eu,LAND_09_MW,Bayern - Ministerium für Wirtschaft,Land,13,0,16,51,2024-12,4,False,True,False,True,2024-12-16,2024-12-16/2024-12-22
ISS_20250613033652_1222,2023-10-21 07:22:00,Sicherheit,"Der Fußweg entlang der Wilhelmstraße ist abends völlig unbeleuchtet und durch die vielen Schlaglöcher extrem gefährlich. Besonders für uns Frauen ist es beängstigend, dort alleine langgehen zu müssen - bitte installieren Sie endlich Straßenlaternen!",48.04850345768964,8.208586127534964,Furtwangen im Schwarzwald,Stadt,Baden-Württemberg,25-34,female,citizen,LAND_07_IM,Rheinland-Pfalz - Ministerium des Innern,Land,7,5,21,42,2023-10,4,True,False,True,False,2023-10-21,2023-10-16/2023-10-22
ISS_20250613033652_6546,2025-03-31 10:45:00,Wirtschaft,"Die Gewerbeanmeldung für meinen kleinen Handwerksbetrieb dauert jetzt schon über zwei Monate. Ich kann nicht arbeiten und verliere täglich Aufträge, weil die Bearbeitung so langsam läuft. Das kann doch nicht normal sein!",51.91136303832232,14.031068736257147,Alt Zauche-Wußwerk,Gemeinde,Brandenburg,25-34,male,citizen,LAND_07_FM,Rheinland-Pfalz - Ministerium der Finanzen,Land,10,0,31,14,2025-03,1,False,True,True,False,2025-03-31,2025-03-31/2025-04-06
ISS_20250613033652_6157,2025-05-07 11:42:00,Wirtschaft,"Die Gewerbeanmeldung für meinen kleinen Reparaturservice dauert jetzt schon drei Monate. Ich brauche dringend die Genehmigung, um arbeiten zu können und meine Familie zu ernähren, aber das Amt gibt mir keine klaren Antworten.",53.067060795492985,7.254014960308419,Rhede (Ems),Gemeinde,Niedersachsen,35-44,male,migrant_non_eu,LAND_02_FM,Hamburg - Ministerium der Finanzen,Land,11,2,7,19,2025-05,2,False,True,True,False,2025-05-07,2025-05-05/2025-05-11
ISS_20250613033709_2948,2024-08-06 06:33:00,Umwelt,"Die Mülltrennung in unserem Wohngebiet funktioniert nicht richtig - die gelben Säcke werden oft tagelang nicht abgeholt und der Wind verteilt den Müll überall. Besonders schlimm ist es in der Münsterstraße, wo Kinder zur Schule gehen.",51.61118447957891,7.509467318437024,Lünen,Stadt,Nordrhein-Westfalen,35-44,female,migrant_eu,LAND_04_UM,Bremen - Ministerium für Umwelt,Land,6,1,6,32,2024-08,3,False,False,True,False,2024-08-06,2024-08-05/2024-08-11
ISS_20250613033653_3717,2024-12-20 04:10:00,Umwelt,Die Mülltonne am Wanderparkplatz beim Waldrand quillt seit über einer Woche über und der Gestank ist unerträglich. Wildtiere wühlen nachts im Müll und verteilen alles im Wald - das kann so nicht weitergehen!,50.661748848294486,8.762791715924765,Staufenberg,Stadt,Hessen,35-44,female,citizen,LAND_03_MW,Niedersachsen - Ministerium für Wirtschaft,Land,4,4,20,51,2024-12,4,False,False,False,False,2024-12-20,2024-12-16/2024-12-22
ISS_20250613033657_3982,2024-03-08 10:14:00,Gesundheit,"Die Wartezeit beim Hausarzt in Ostbevern beträgt mittlerweile über drei Wochen für einen normalen Termin. Als berufstätige Mutter ist es unmöglich, spontan einen Arzt zu erreichen, wenn mein Kind krank wird - das kann so nicht weitergehen.",52.054867609776174,7.831678776266862,Ostbevern,Gemeinde,Nordrhein-Westfalen,25-34,female,citizen,LAND_11_GM,Berlin - Ministerium für Gesundheit,Land,10,4,8,10,2024-03,1,False,True,True,False,2024-03-08,2024-03-04/2024-03-10
ISS_20250613033654_7197,2025-01-31 09:39:00,Digitalisierung,"Die Online-Terminbuchung für den Bürgerservice funktioniert seit Wochen nicht richtig - ich kann keinen Termin für meinen Personalausweis buchen und muss immer wieder anrufen, aber niemand geht ans Telefon.",50.24532343438105,11.334113624473796,Kronach,Stadt,Bayern,45-54,female,migrant_eu,BUND_BUNDESMINISTERIUM_FÜR_DIGITALES_UND_VERKEHR,Bundesministerium für Digitales und Verkehr,Bund,9,4,31,5,2025-01,1,False,True,True,False,2025-01-31,2025-01-27/2025-02-02
ISS_20250613033709_4359,2025-06-12 13:18:00,Digitalisierung,"Die Online-Terminbuchung für das Bürgerbüro funktioniert seit Monaten nicht richtig - ständig Fehlermeldungen oder die Seite lädt gar nicht erst. Muss ich wirklich extra nach Stralsund fahren, nur um einen simplen Termin zu bekommen?",54.18804813832776,13.204575912161438,Sundhagen,Gemeinde,Mecklenburg-Vorpommern,45-54,male,citizen,BUND_BUNDESMINISTERIUM_FÜR_DIGITALES_UND_VERKEHR,Bundesministerium für Digitales und Verkehr,Bund,13,3,12,24,2025-06,2,False,True,False,True,2025-06-12,2025-06-09/2025-06-15
ISS_20250613033655_3441,2024-08-08 14:42:00,Gesundheit,"Die Wartezeit in der Notaufnahme des Krankenhauses beträgt regelmäßig über vier Stunden, selbst bei akuten Beschwerden. Das Personal ist völlig überlastet und Patienten werden stundenlang ohne Information im Wartezimmer gelassen.",51.53212530866093,12.995082518493527,Torgau,Stadt,Sachsen,25-34,male,citizen,LAND_09_GM,Bayern - Ministerium für Gesundheit,Land,14,3,8,32,2024-08,3,False,True,False,True,2024-08-08,2024-08-05/2024-08-11
ISS_20250613033655_7701,2024-04-24 09:21:00,Verkehr,"Die Bushaltestelle an der Hauptstraße hat kein Wartehäuschen und bei Regen stehen alle Fahrgäste im Wasser. Besonders für ältere Leute und Kinder ist das ein Problem, wenn der Bus mal wieder Verspätung hat.",49.5293197702949,9.847566807349184,Igersheim,Gemeinde,Baden-Württemberg,25-34,male,citizen,LAND_05_VM,Nordrhein-Westfalen - Ministerium für Verkehr,Land,9,2,24,17,2024-04,2,False,True,True,False,2024-04-24,2024-04-22/2024-04-28
ISS_20250613033655_8770,2023-04-11 18:54:00,Umwelt,Die Mülltrennung am Recyclinghof in der Heßlinger Straße funktioniert nicht richtig - die Container sind ständig überfüllt und der Müll liegt überall rum. Das lockt Ungeziefer an und sieht einfach schrecklich aus für unsere Stadt.,52.41088852618509,10.78430701105936,Wolfsburg,Stadt,Niedersachsen,45-54,female,citizen,LAND_02_UM,Hamburg - Ministerium für Umwelt,Land,18,1,11,15,2023-04,2,False,False,False,True,2023-04-11,2023-04-10/2023-04-16
ISS_20250613033656_5616,2023-11-02 09:57:00,Digitalisierung,"Die Online-Terminbuchung für das Bürgerbüro ist seit Tagen nicht erreichbar und am Telefon ist ständig besetzt. Für einen einfachen Personalausweis-Antrag muss ich jetzt extra einen Tag Urlaub nehmen, weil die Digitalisierung hier nicht funktioniert.",51.2631645436593,6.3602081282949285,Viersen,Stadt,Nordrhein-Westfalen,35-44,female,citizen,BUND_BUNDESMINISTERIUM_FÜR_DIGITALES_UND_VERKEHR,Bundesministerium für Digitales und Verkehr,Bund,9,3,2,44,2023-11,4,False,True,True,False,2023-11-02,2023-10-30/2023-11-05
ISS_20250613033655_2493,2023-10-11 09:02:00,Gesundheit,"Die Wartezeit für einen Facharzttermin beim Orthopäden in Krefeld beträgt über vier Monate. Meine Rückenschmerzen verschlimmern sich täglich, aber ich bekomme keinen Termin. Das ist untragbar für berufstätige Menschen wie mich.",51.3455289807423,6.579550346514247,Krefeld,Stadt,Nordrhein-Westfalen,45-54,male,citizen,LAND_14_SM,Sachsen - Ministerium für Soziales,Land,9,2,11,41,2023-10,4,False,True,True,False,2023-10-11,2023-10-09/2023-10-15
ISS_20250613033655_4239,2024-04-25 06:31:00,Migration,Die Bearbeitung von Asylanträgen in unserem Landkreis dauert viel zu lange. Mein Nachbar wartet schon seit über einem Jahr auf eine Entscheidung und kann deshalb nicht richtig arbeiten oder seine Familie nachholen.,52.42138122678397,12.764104507648952,Groß Kreutz (Havel),Gemeinde,Brandenburg,65+,male,citizen,LAND_12_SM,Brandenburg - Ministerium für Soziales,Land,6,3,25,17,2024-04,2,False,False,True,False,2024-04-25,2024-04-22/2024-04-28
